Date,Open,High,Low,Close,Volume
2017/12/18,2685.919921875,2694.969970703125,2685.919921875,2690.159912109375,3727770000
2017/12/19,2692.7099609375,2694.43994140625,2680.739990234375,2681.469970703125,3407680000
2017/12/20,2688.179931640625,2691.010009765625,2676.110107421875,2679.25,3246230000
2017/12/21,2683.02001953125,2692.639892578125,2682.39990234375,2684.570068359375,3293130000
2017/12/22,2684.219970703125,2685.35009765625,2678.1298828125,2683.340087890625,2401030000
2017/12/26,2679.090087890625,2682.739990234375,2677.9599609375,2680.5,1970660000
2017/12/27,2682.10009765625,2685.639892578125,2678.909912109375,2682.6201171875,2202900000
2017/12/28,2686.10009765625,2687.659912109375,2682.68994140625,2687.5400390625,2174890000
2017/12/29,2689.14990234375,2692.1201171875,2673.610107421875,2673.610107421875,2447760000
2018/01/02,2683.72998046875,2695.889892578125,2682.360107421875,2695.81005859375,3397430000
2018/01/03,2697.85009765625,2714.3701171875,2697.77001953125,2713.06005859375,3544030000
2018/01/04,2719.31005859375,2729.2900390625,2719.070068359375,2723.989990234375,3697340000
2018/01/05,2731.330078125,2743.449951171875,2727.919921875,2743.14990234375,3239280000
2018/01/08,2742.669921875,2748.510009765625,2737.60009765625,2747.7099609375,3246160000
2018/01/09,2751.14990234375,2759.139892578125,2747.860107421875,2751.2900390625,3467460000
2018/01/10,2745.550048828125,2750.800048828125,2736.06005859375,2748.22998046875,3579900000
2018/01/11,2752.969970703125,2767.56005859375,2752.780029296875,2767.56005859375,3645690000
2018/01/12,2770.179931640625,2787.85009765625,2769.639892578125,2786.239990234375,3587220000
2018/01/16,2798.9599609375,2807.5400390625,2768.639892578125,2776.419921875,4362880000
2018/01/17,2784.989990234375,2807.0400390625,2778.3798828125,2802.56005859375,3790340000
2018/01/18,2802.39990234375,2805.830078125,2792.56005859375,2798.030029296875,3703300000
2018/01/19,2802.60009765625,2810.330078125,2798.080078125,2810.300048828125,3724230000
2018/01/22,2809.159912109375,2833.030029296875,2808.1201171875,2832.969970703125,3489480000
2018/01/23,2835.050048828125,2842.239990234375,2830.590087890625,2839.1298828125,3541140000
2018/01/24,2845.419921875,2852.969970703125,2824.81005859375,2837.5400390625,4079270000
2018/01/25,2846.239990234375,2848.56005859375,2830.93994140625,2839.25,3873100000
2018/01/26,2847.47998046875,2872.8701171875,2846.179931640625,2872.8701171875,3474680000
2018/01/29,2867.22998046875,2870.6201171875,2851.47998046875,2853.530029296875,3587420000
2018/01/30,2832.739990234375,2837.75,2818.27001953125,2822.429931640625,4012070000
2018/01/31,2832.409912109375,2839.260009765625,2813.0400390625,2823.81005859375,4276270000
2018/02/01,2816.449951171875,2835.9599609375,2812.699951171875,2821.97998046875,3977380000
2018/02/02,2808.919921875,2808.919921875,2759.969970703125,2762.1298828125,4340220000
2018/02/05,2741.06005859375,2763.389892578125,2638.169921875,2648.93994140625,5310840000
2018/02/06,2614.780029296875,2701.0400390625,2593.070068359375,2695.139892578125,5917350000
2018/02/07,2690.949951171875,2727.669921875,2681.330078125,2681.659912109375,4646300000
2018/02/08,2685.010009765625,2685.27001953125,2580.56005859375,2581.0,5333840000
2018/02/09,2601.780029296875,2638.669921875,2532.68994140625,2619.550048828125,5690110000
2018/02/12,2636.75,2672.610107421875,2622.449951171875,2656.0,4069220000
2018/02/13,2646.27001953125,2668.840087890625,2637.080078125,2662.93994140625,3503540000
2018/02/14,2651.2099609375,2702.10009765625,2648.8701171875,2698.6298828125,4011940000
2018/02/15,2713.4599609375,2731.510009765625,2689.820068359375,2731.199951171875,3696140000
2018/02/16,2727.139892578125,2754.419921875,2725.110107421875,2732.219970703125,3646920000
2018/02/20,2722.989990234375,2737.60009765625,2706.760009765625,2716.260009765625,3646920000
2018/02/21,2720.530029296875,2747.75,2701.2900390625,2701.330078125,3789040000
2018/02/22,2710.419921875,2731.260009765625,2697.77001953125,2703.9599609375,3720620000
2018/02/23,2715.800048828125,2747.760009765625,2713.739990234375,2747.300048828125,3200360000
2018/02/26,2757.3701171875,2780.639892578125,2753.780029296875,2779.60009765625,3436590000
2018/02/27,2780.449951171875,2789.14990234375,2744.219970703125,2744.280029296875,3752070000
2018/02/28,2753.780029296875,2761.52001953125,2713.5400390625,2713.830078125,4244570000
2018/03/01,2715.219970703125,2730.889892578125,2659.64990234375,2677.669921875,4514490000
2018/03/02,2658.889892578125,2696.25,2647.320068359375,2691.25,3891250000
2018/03/05,2681.06005859375,2728.090087890625,2675.75,2720.93994140625,3733640000
2018/03/06,2730.179931640625,2732.080078125,2711.260009765625,2728.1201171875,3389030000
2018/03/07,2710.179931640625,2730.60009765625,2701.739990234375,2726.800048828125,3406690000
2018/03/08,2732.75,2740.449951171875,2722.64990234375,2738.969970703125,3206040000
2018/03/09,2752.909912109375,2786.570068359375,2751.5400390625,2786.570068359375,3376870000
2018/03/12,2790.5400390625,2796.97998046875,2779.260009765625,2783.02001953125,3216960000
2018/03/13,2792.31005859375,2801.89990234375,2758.679931640625,2765.31005859375,3324290000
2018/03/14,2774.06005859375,2777.110107421875,2744.3798828125,2749.47998046875,3394630000
2018/03/15,2754.27001953125,2763.030029296875,2741.469970703125,2747.330078125,3543710000
2018/03/16,2750.570068359375,2761.85009765625,2749.969970703125,2752.010009765625,5429140000
2018/03/19,2741.3798828125,2741.3798828125,2694.590087890625,2712.919921875,3327460000
2018/03/20,2715.050048828125,2724.219970703125,2710.050048828125,2716.93994140625,3272590000
2018/03/21,2714.989990234375,2739.139892578125,2709.7900390625,2711.929931640625,3434780000
2018/03/22,2691.360107421875,2695.679931640625,2641.590087890625,2643.68994140625,3765460000
2018/03/23,2646.7099609375,2657.669921875,2585.889892578125,2588.260009765625,3829380000
2018/03/26,2619.35009765625,2661.360107421875,2601.81005859375,2658.550048828125,3538080000
2018/03/27,2667.570068359375,2674.780029296875,2596.1201171875,2612.6201171875,3761320000
2018/03/28,2611.300048828125,2632.64990234375,2593.06005859375,2605.0,3875720000
2018/03/29,2614.409912109375,2659.070068359375,2609.719970703125,2640.8701171875,3572360000
2018/04/02,2633.449951171875,2638.300048828125,2553.800048828125,2581.8798828125,3635780000
2018/04/03,2592.169921875,2619.139892578125,2575.489990234375,2614.449951171875,3395840000
2018/04/04,2584.0400390625,2649.860107421875,2573.610107421875,2644.68994140625,3369230000
2018/04/05,2657.360107421875,2672.080078125,2649.580078125,2662.840087890625,3230430000
2018/04/06,2645.820068359375,2656.8798828125,2586.27001953125,2604.469970703125,3312390000
2018/04/09,2617.179931640625,2653.550048828125,2610.7900390625,2613.159912109375,3076140000
2018/04/10,2638.409912109375,2665.449951171875,2635.780029296875,2656.8701171875,3579130000
2018/04/11,2643.889892578125,2661.429931640625,2639.25,2642.18994140625,3054520000
2018/04/12,2653.830078125,2674.719970703125,2653.830078125,2663.989990234375,3045330000
2018/04/13,2676.89990234375,2680.260009765625,2645.050048828125,2656.300048828125,2988540000
2018/04/16,2670.10009765625,2686.489990234375,2665.159912109375,2677.840087890625,3020740000
2018/04/17,2692.739990234375,2713.340087890625,2692.050048828125,2706.389892578125,3286190000
2018/04/18,2710.110107421875,2717.489990234375,2703.6298828125,2708.639892578125,3412030000
2018/04/19,2701.159912109375,2702.840087890625,2681.89990234375,2693.1298828125,3375120000
2018/04/20,2692.56005859375,2693.93994140625,2660.610107421875,2670.139892578125,3428260000
2018/04/23,2675.39990234375,2682.860107421875,2657.989990234375,2670.2900390625,3030390000
2018/04/24,2680.800048828125,2683.550048828125,2617.320068359375,2634.56005859375,3716020000
2018/04/25,2634.919921875,2645.300048828125,2612.669921875,2639.39990234375,3563680000
2018/04/26,2651.64990234375,2676.47998046875,2647.159912109375,2666.93994140625,3690920000
2018/04/27,2675.469970703125,2677.35009765625,2659.010009765625,2669.909912109375,3234510000
2018/04/30,2682.510009765625,2682.8701171875,2648.0400390625,2648.050048828125,3749510000
2018/05/01,2642.9599609375,2655.27001953125,2625.409912109375,2654.800048828125,3562820000
2018/05/02,2654.239990234375,2660.8701171875,2631.699951171875,2635.669921875,4047020000
2018/05/03,2628.080078125,2637.139892578125,2594.6201171875,2629.72998046875,3867530000
2018/05/04,2621.449951171875,2670.929931640625,2615.320068359375,2663.419921875,3335260000
2018/05/07,2680.340087890625,2683.35009765625,2664.699951171875,2672.6298828125,3266810000
2018/05/08,2670.260009765625,2676.340087890625,2655.199951171875,2671.919921875,3745100000
2018/05/09,2678.1201171875,2701.27001953125,2674.139892578125,2697.7900390625,3913650000
2018/05/10,2705.02001953125,2726.110107421875,2704.5400390625,2723.070068359375,3380640000
